code;description;description[el];description[en];lat;lon
550;Avenue Morfou - Archangelou Michail;Λεωφόρος Μόρφου - Αρχαγγέλου Μιχαήλ;Avenue Morfou - Archangelou Michail;35,1373620133756;33,3095312227799
40003;Xylotymvou City Hall 2;Δημαρχείο Ξυλοτύμβου 2;Xylotymvou City Hall 2;35,0169418173936;33,7429051216765
20134;11th Stop Tochni;11η Στάση Τόχνης;11th Stop Tochni;34,7649180461099;33,3216954026902
20467;Kornos - Delikipos Road 2;Δρόμος Κόρνου - Δελίκηπου 2;Kornos - Delikipos Road 2;34,9197414109194;33,3867489571706
30191;Elefth. Venizelou Ave. - Chanion;Λεωφ. Ελευθ. Βενιζέλου - Χανιών;Elefth. Venizelou Ave. - Chanion;34,7820931747888;32,4386262930758
855;Metochiou - Kosta Krystalli;Μετοχίου - Κώστα Κρυστάλλη;Metochiou - Kosta Krystalli;35,1672234106621;33,3442345836166
21057;Kekropos - Poti 1;Κέκροπος - Πότι 1;Kekropos - Poti 1;34,9385688325384;33,6145723750085
3058;Pediaiou - Agias Mavris;Πεδιαίου - Αγίας Μαύρης;Pediaiou - Agias Mavris;35,1233900615239;33,3112124301456
21303;Agion Apostolon - Agiou Vasileiou;Αγίων Αποστόλων - Αγίου Βασιλείου;Agion Apostolon - Agiou Vasileiou;34,9069999486199;33,5981149019376
30904;10 Elem. School - Evagoras Pallikaridis;10 Δημ. Σχολείο - Ευαγόρας Παλληκαρίδης;10 Elem. School - Evagoras Pallikaridis;34,7906746441238;32,4340209510109
519;Ave. Archiepiskopou Makariou C - Kimonos;Λεωφ. Αρχιεπισκόπου Μακαρίου Γ - Κίμωνος;Ave. Archiepiskopou Makariou C - Kimonos;35,106125940286;33,38521334078
40283;Meg. Alexandrou - Mpoumpoulinas;Μεγ. Αλεξάνδρου - Μπουμπουλίνας;Meg. Alexandrou - Mpoumpoulinas;35,0465233890033;33,997362348412
10164;Ilia Venezi - Griva Digeni;Ηλία Βενέζη - Γρίβα Διγενή;Ilia Venezi - Griva Digeni;34,6851664488341;32,9561789392108
6007;Voulgaroktonou - Arsinois;Βουλγαροκτόνου - Αρσινόης;Voulgaroktonou - Arsinois;35,1722288311074;33,359443364072
360;Ave. Dimitriou Vikela - Giannou Kranidioti;Λεωφ. Δημητρίου Βικέλα - Γιάννου Κρανιδιώτη;Ave. Dimitriou Vikela - Giannou Kranidioti;35,1165475077295;33,3564989829686
10455;Marinou Geroulanou - Mpizaniou;Μαρίνου Γερουλάνου - Μπιζανίου;Marinou Geroulanou - Mpizaniou;34,685589017734;33,0056768978987
31530;Stratigou Alex. Papagou - Kastellorizou;Στρατηγού Αλεξ. Παπάγου - Καστελλόριζου;Stratigou Alex. Papagou - Kastellorizou;34,7762198639985;32,438010345304
2005;Ave. Arch. Makariou C - Karpasias;Λεωφ. Αρχ. Μακαρίου Γ - Καρπασίας;Ave. Arch. Makariou C - Karpasias;34,9491387283557;33,3041784912744
248;Ave. Archiepiskopou Makariou C - Kallitheas;Λεωφ. Αρχιεπισκόπου Μακαρίου Γ - Καλλιθέας;Ave. Archiepiskopou Makariou C - Kallitheas;35,1010730824142;33,300221262781
20443;Kalo Chorio - Agia Anna Road - 2nd Stop;Δρόμος Καλού Χωριού Αγίας Άννας - 2η Στάση;Kalo Chorio - Agia Anna Road - 2nd Stop;34,9282982446214;33,5261704019443
40388;Apost. Andrea - Ag. Theodorou 1;Αποστ. Ανδρέα - Αγ. Θεοδώρου 1;Apost. Andrea - Ag. Theodorou 1;35,0226165146183;33,9505526693345
2663;Agia Marina Church 2;Εκκλησία Αγίας Μαρίνας 2;Agia Marina Church 2;35,0399145587765;32,9002382884111
10556;Agias Fylaxeos - Evagora Laniti;Αγίας Φυλάξεως - Ευαγόρα Λανίτη;Agias Fylaxeos - Evagora Laniti;34,7073287341629;33,0249521233695
22065;Mystra - Konstantinoupoleos 1;Μυστρά - Κωνσταντινουπόλεως 1;Mystra - Konstantinoupoleos 1;34,9199870535549;33,6085986183092
30550;2nd Stop Nikokleia;2η Στάση Νικόκλεια;2nd Stop Nikokleia;34,7247440721692;32,5651100081595
829;Ave. Athalassas - Georgiou Paraskevaidi Avenue;Λεωφ. Αθαλάσσας - Λεωφόρος Γεώργιου Παρασκευαΐδη;Ave. Athalassas - Georgiou Paraskevaidi Avenue;35,1453087972236;33,3607411357836
2108;A´ Dali Elementary School;Α´ Δημοτικό Σχολείο Δαλίου;A´ Dali Elementary School;35,0284611467252;33,4254204937097
10268;16 Elementary School - Zakaki 1;16 Δημοτικό Σχολείo - Ζακακίου 1;16 Elementary School - Zakaki 1;34,6583279339969;33,002029917563
21047;Stratigou Timagia Ave. - Granikou;Λεωφ. Στρατηγού Τιμάγια - Γρανικού;Stratigou Timagia Ave. - Granikou;34,9289752101073;33,6179607177231
30134;Nikolaou Ellina - Agiou Neofytou;Νικολάου Έλληνα - Αγίου Νεοφύτου;Nikolaou Ellina - Agiou Neofytou;34,8027721492319;32,4235416101613
31804;1st Stop Panagia;1η Στάση Παναγιά;1st Stop Panagia;34,9216027068716;32,62595315893
1029;Ave. Tzon Kennenty - Zappeiou;Λεωφ. Τζων Κέννεντυ - Ζαππείου;Ave. Tzon Kennenty - Zappeiou;35,1727626607827;33,3852528459924
230;Ave. Strovolou - METRO Supermarket;Λεωφ. Στροβόλου - Υπεραγορά ΜΕΤΡΟ;Ave. Strovolou - METRO Supermarket;35,1248565031906;33,3228408993834
21137;Spyrou Kyprianou Ave. - Pavlou Valdaseridi;Λεωφ. Σπύρου Κυπριανού - Παύλου Βαλδασερίδη;Spyrou Kyprianou Ave. - Pavlou Valdaseridi;34,9302262305105;33,6341749028703
20156;2nd Stop Odou;2η Στάση Οδού;2nd Stop Odou;34,8838130691394;33,151739173944
30716;Mariou Ave. - Arsinois;Λεωφ. Μάριου - Αρσινόης;Mariou Ave. - Arsinois;35,0358987134488;32,4291888388319
